movie_name,language,year_of_release,maturity_rating,total_running_time_minutes,imdb_ratings
Dictator - Yudh Ek Jung,Hindi,2016,NR,146,0
Jakkanna,Telugu,2016,13+,136,6
Elysium,Hindi,2013,18+,109,6.6
Born To Race,Marathi,2012,16+,98,6
Bandobast,Telugu,2019,13+,163,6.3
Gamer,Telugu,2009,18+,94,5.8
3 Monkeys,Telugu,2020,13+,128,6.5
Prem Ratan Dhan Payo,Hindi,2015,All,164,4.4
Ramji Rao Speaking,Malayalam,1989,NR,140,8.5
Nazrana Pyar Ka,Hindi,1980,NR,143,4.9
Endless Love,English,1981,18+,115,5
Apple Cake,Kannada,2018,13+,142,6.5
Mr 7,Telugu,2012,NR,114,0
100,Tamil,2019,13+,136,6.5
Natha Pure Aata,Marathi,2005,All,143,0
Dennis the Menace: Memory Mayhem,English,1987,All,68,0
Sketch,Tamil,2018,13+,131,5.7
E Ki Labonye,Bengali,2016,13+,124,0
Pune Via Bihar,Marathi,2014,13+,127,4.6
The Grudge 3 (2008),English,2009,18+,90,4.7
Roaring Currents,English,2014,18+,105,7.1
"Man Who Knew Too Little, The",English,1997,13+,93,0
K.G.F: Chapter 1 (Hindi),Hindi,2018,13+,154,8.2
Ek Unad Divas,Marathi,2005,All,91,8.3
Yatra (Telugu),Telugu,2019,All,125,8.2
Sagaa,Tamil,2019,13+,119,5.9
Ishq Garaari,Punjabi,2013,13+,125,5.6
Sangliyana,Kannada,1988,NR,114,0
Charlie and the Chocolate Factory,English,2005,All,114,6.6
Kalikkoottukar,Malayalam,2019,All,144,3.5
Dui Yoddha,Bengali,2006,NR,145,0
Hangover : A Mistake of Last Peg,Kannada,2019,13+,99,7.1
Challenge Ramudu,Telugu,1980,NR,139,0
Shakthi,Telugu,2019,All,143,6.4
Koondukkili,Tamil,1994,NR,104,7.6
iParty,English,2020,13+,47,0
The Taking of Tiger Mountain,English,2014,18+,137,6.4
Zid,Hindi,2014,18+,128,4.4
Ethiopia By Tuk tuk,English,2019,13+,87,0
Nermai,Tamil,1985,All,150,0
The Long Flight of the Phoenix,English,2020,13+,49,0
Patel Sir,Telugu,2017,13+,129,5.6
Guess Who’s Coming to Dinner,English,None,7+,108,0
Madmast Barkhaa,Hindi,2015,NR,102,3.6
Bobby,Malayalam,2017,NR,140,7
Spark: A Space Tail,English,2017,7+,88,4.5
Kuch Tum Kaho Kuch Hum Kahein,Hindi,2002,All,172,5.6
Inception,Hindi,2010,13+,148,8.8
Stripper,English,1986,18+,90,5.9
Jugni Yaaran Di,Punjabi,2019,13+,115,4.9
Marettimo,English,2020,13+,24,0
Just Let Go,English,2015,16+,106,6.8
Dracula Sir,Bengali,2020,13+,125,7.2
Party,Hindi,1984,NR,112,0
Drive Angry,Hindi,2011,18+,100,5.4
Fresh Dressed,English,2015,18+,82,6.6
Young @ Heart,English,2007,13+,103,0
Journey 2: The Mysterious Island,Hindi,2012,All,94,5.8
Mantra Shakti - Telugu,Telugu,2002,NR,117,0
Bhuvana Sundari Katha,Telugu,None,NR,155,5.5
Lift,Bengali,2018,13+,20,0
Man on a Ledge,English,2012,13+,102,6.6
Slovo House,English,2020,13+,81,8.1
The Nest of the Cuckoo Birds,English,None,NR,82,5.2
Jab Jab Phool Khile,Hindi,None,All,144,7
Al Mallu,Malayalam,2020,All,128,4.1
Upstream Color,English,2013,13+,96,6.7
Desh Re Joya Dada Pardesh Joya,Gujarati,1998,All,164,7.4
Rush Hour 2,Hindi,2001,18+,90,6.6
Adhipathi,Telugu,2001,NR,151,5.4
Bangaru Bullodu,Telugu,1993,All,153,5.7
Is the Village Dying?,English,2020,13+,49,0
Paattinte Palazhy,Malayalam,2010,All,130,4.4
Oohalu Gusagusalade,Telugu,2014,All,131,7.7
Deck the Halls,English,2006,13+,92,5
Aithe 2.0,Telugu,2018,18+,122,0
